issue,title,priority,status,project,scope,triage,current_disposition,reconciled_at
DEN-266,Import Google Chat space messages into Linear without duplicates,High,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-315,Verify restored GitHub App writes for k8s-cluster,Urgent,Done,k8s-cluster,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-452,Verify restored GitHub App write access for k8s-cluster,Urgent,Duplicate,github.com/ORESoftware,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-391,Provision the multi-provider runner secret bundle,High,Todo,ai-agent-bridge,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-864,[Agent tooling] Add safe Codex ↔ Claude Code collaboration via MCP and one-shot adapters,High,Backlog,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-260,Connect Benefactor lead providers and private browser-scraping pipeline,Urgent,In Progress,benefactor-cc,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-860,[fiducia-clients] Make generator and conformance coverage real for every existing client,High,In Progress,fiducia-cloud,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-836,[sonus-auris-ui.dart] Install and acceptance-test Android on the current Samsung handset,Urgent,Todo,sonus-auris,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-114,[ai-agent-coordinator] Standardize all repositories on hierarchical agents.md instructions,Medium,Todo,ai-agent-coordinator,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1231,[Slack run ledger] Project slack_agent_run lifecycle into AI Agent Run Queue,High,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1043,Authorize the MemeBank GitHub organization and execute the canonical 13-repository bootstrap,Urgent,In Progress,memebank,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-872,zed-cli: add zed dev / zed develop package-aware dev shell,High,Done,zed-pkg,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-43,Verify GitHub App write permissions after permission update,Urgent,Duplicate,github.com/ORESoftware,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-238,Enroll ORESoftware and eligible organizations in GitHub Sponsors,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-871,[fiducia-operations-control-plane] Build deterministic Raft reference workloads,High,In Progress,fiducia-cloud,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-370,[k8s CI] Activate the merged read-only GitHub App across 30 pinned repositories,Urgent,In Progress,k8s-cluster,Linear ChatGPT search,top-eight detailed bump prepared,P0 30-repository GitHub App activation,2026-08-03 America/Lima
DEN-609,"[sonus-auris] Audit and harden the repository fleet; close mobile, crypto, release, and policy gaps",Urgent,In Progress,sonus-auris,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-405,Run repeatable OAuth smoke tests against both Browser MCP edges,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-775,Repair the OTP-first Android smoke gate and publish a protected install APK,Urgent,Done,sonus-auris,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-786,Reapply once to Pulumi for Startups using hello@fiducia.cloud,Urgent,In Progress,fiducia-cloud,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-298,[anticaptrad] Resolve non-mergeable rollout PRs and bootstrap empty repositories,High,Done,anticaptrad,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-171,Add bridge-layer multi-model workflow orchestration,Urgent,Done,ai-agent-bridge,Linear ChatGPT search,reference only; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
DEN-208,Launch ORESoftware cross-organization sponsorship program,Urgent,In Progress,github.com/ORESoftware,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-823,"[Agent operations] Build recurring portfolio, job, research, inbox, and prompt-intake workflows",High,Todo,ai-agent-coordinator,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-262,Build the Anticaptrad YouTube management web app and guarded publishing workflow,High,In Progress,anticaptrad,Linear ChatGPT search,reviewed; below current P0/P1 execution lane,tracked in canonical Linear issue,2026-08-03 America/Lima
DEN-1320,[alex-main-agent] Lock cross-org routing manifests and remove provider-execution drift,Urgent,Done,ai-agent-bridge,direct linked dependency,verified complete; do not reopen,reference only; do not reopen,2026-08-03 America/Lima
